出現時間,x座標,y座標,速度,体力,敵行動パターン,敵画像種類
count,float x,float y,float speed,int hp,int type,int pic_type
180,0.2,-1.2,0.009,9,60,1
180,-0.2,-1.2,0.009,8,61,1
210,0.2,-1.2,0.009,9,60,1
210,-0.2,-1.2,0.009,8,61,1
240,0.2,-1.2,0.009,9,60,1
240,-0.2,-1.2,0.009,8,61,1
270,0.2,-1.2,0.009,9,60,1
270,-0.2,-1.2,0.009,8,61,1
300,0.2,-1.2,0.009,9,60,1
300,-0.2,-1.2,0.009,8,61,1
330,0.2,-1.2,0.009,9,60,1
330,-0.2,-1.2,0.009,8,61,1
360,0.2,-1.2,0.009,9,60,1
360,-0.2,-1.2,0.009,8,61,1
390,0.2,-1.2,0.009,9,60,1
420,-0.2,-1.2,0.009,9,61,1
450,0.2,-1.2,0.009,9,60,1
480,-0.2,-1.2,0.009,9,61,1
510,0.2,-1.2,0.009,9,60,1
540,-0.2,-1.2,0.009,9,61,1
570,0.2,-1.2,0.009,9,60,1
600,-0.2,-1.2,0.009,9,61,1
630,0.2,-1.2,0.009,9,60,1
/,,,,,,
930,0.85,-1.1,0.009,30,300,0
990,0.75,-1.1,0.009,50,301,0
1050,0.7,-1.1,0.009,70,301,0
1110,0.6,-1.1,0.009,90,300,0
1170,0.5,-1.1,0.009,110,301,0
1230,0.3,-1.1,0.009,130,300,0
1290,0.1,-1.1,0.009,150,301,0
1350,0,-1.1,0.009,30,301,0
1410,-0.1,-1.1,0.009,150,300,0
1470,-0.3,-1.1,0.009,130,300,0
1530,-0.5,-1.1,0.009,110,301,0
1590,-0.6,-1.1,0.009,90,300,0
1650,-0.7,-1.1,0.009,70,301,0
1710,-0.75,-1.1,0.009,50,301,0
1770,-0.85,-1.1,0.009,30,300,0
/,,,,,,
1950,0.7,-1.1,0.008,12,13,1
1950,-0.7,-1.1,0.008,8,14,1
2010,0.5,-1.1,0.008,11,13,1
2010,-0.5,-1.1,0.008,9,14,1
2070,0.3,-1.1,0.008,10,13,1
2070,-0.3,-1.1,0.008,10,14,1
2130,0.1,-1.1,0.008,9,14,1
2130,-0.1,-1.1,0.008,11,13,1
2190,-0.3,-1.1,0.008,8,14,1
2190,0.3,-1.1,0.008,12,13,1
2250,-0.5,-1.1,0.008,7,14,1
2250,0.5,-1.1,0.008,13,13,1
/,,,,,,
2340,0.25,-1.1,0.007,18,62,1
2430,-0.25,-1.1,0.0065,18,62,1
2440,0.25,-1.1,0.0075,18,62,1
2530,-0.25,-1.1,0.005,18,62,1
2540,0.25,-1.1,0.0067,18,62,1
2630,-0.25,-1.1,0.0059,18,62,1
2640,0.25,-1.1,0.0073,18,62,1
2730,-0.25,-1.1,0.0082,18,62,1
2740,0.25,-1.1,0.009,18,62,1
2750,-0.25,-1.1,0.0072,18,62,1
2840,0.25,-1.1,0.0068,18,62,1
2930,-0.25,-1.1,0.006,18,62,1
2950,0.25,-1.1,0.007,18,62,1
3030,-0.25,-1.1,0.008,18,62,1
3060,0.25,-1.1,0.0083,18,62,1
3130,-0.25,-1.1,0.0076,18,62,1
3170,0.25,-1.1,0.0081,18,62,1
3230,-0.25,-1.1,0.0069,18,62,1
3280,0.25,-1.1,0.0078,18,62,1
3330,-0.25,-1.1,0.0075,18,62,1
3390,0.25,-1.1,0.0049,18,62,1
3430,-0.25,-1.1,0.0084,18,62,1
3500,0.25,-1.1,0.0067,18,62,1
3530,-0.25,-1.1,0.0081,18,62,1
3610,0.25,-1.1,0.0074,18,62,1
3630,-0.25,-1.1,0.0089,18,62,1
3720,0.25,-1.1,0.0079,18,62,1
3730,-0.25,-1.1,0.0083,18,62,1
3830,0.25,-1.1,0.0084,18,62,1
3830,-0.25,-1.1,0.009,18,62,1
/,,,,,,
4140,-0.36,1.3,0.01,10,303,0
4200,-0.27,1,0.01,10,311,0
4260,0.63,1.3,0.015,10,310,0
4320,-0.15,1.1,0.02,10,311,0
4380,0.8,0.1,0.015,10,308,0
4440,-0.42,1.2,0.01,10,311,0
4500,0.25,-1.4,0.017,10,301,0
4560,-0.76,0.9,0.01,10,301,0
4620,0.6,-1.2,0.01,10,311,0
4680,1.18,0,0.015,10,305,0
4740,-0.89,0.6,0.03,10,311,0
4800,0.59,-1,0.01,10,310,0
4860,0,1.5,0.015,10,303,0
4920,-1,0.3,0.01,10,301,0
4980,1.5,0,0.2,10,305,0
5040,-0.44,1,0.01,10,311,0
5100,1.4,0.1,0.01,10,308,0
5160,-0.58,-1.1,0.01,10,301,0
5220,1.05,0.5,0.015,10,310,0
5280,0.85,1,0.015,10,303,0
5340,-0.06,-1.1,0.1,10,311,0
5400,0.67,1.2,0.01,10,310,0
5460,1.4,0.4,0.015,10,305,0
5520,-0.38,-1.4,0.01,10,301,0
5580,-0.41,1,0.01,10,311,0
5640,0.45,1,0.01,10,303,0
5700,0,1,0.015,10,310,0
5760,0.81,1.4,0.01,10,310,0
5820,-0.78,0.9,0.015,10,303,0
5880,0.2,-1.3,0.01,10,301,0
5940,-1.1,0.5,0.025,10,309,0
6000,-1.3,0,0.015,10,307,0
