出現時間,x座標,y座標,速度,体力,敵行動パターン,敵画像種類
count,float x,float y,float speed,int hp,int type,int pic_type
180,0,-1,0.003,7,11,1
290,0.25,-1.25,0.003,7,11,1
370,-0.8,-1.1,0.003,7,12,1
450,0.6,-1.2,0.0045,7,11,1
530,-0.5,-1.05,0.0045,7,11,1
610,0.4,-1.13,0.0045,7,12,1
690,0.35,-1.22,0.0045,7,11,1
770,-0.15,-1.08,0.0045,7,12,1
850,0.7,-1.18,0.005,7,12,1
930,-0.8,-1.04,0.005,7,11,1
1010,0,-1.21,0.005,7,11,1
1090,0.71,-1,0.005,7,11,1
1170,-0.38,-1.31,0.005,7,12,1
1250,-0.48,-1.19,0.006,7,12,1
1330,0.76,-1.23,0.006,7,11,1
1410,-0.87,-1.07,0.006,7,12,1
/,,,,,,
1530,0.775,-1,0.004,8,10,1
1550,0.62,-1.2,0.004,8,10,1
1550,0.9,-1.2,0.004,8,10,1
1670,-0.445,-1,0.005,8,10,1
1690,-0.3,-1.2,0.005,8,10,1
1690,-0.6,-1.2,0.005,8,10,1
1810,0.655,-1,0.006,8,10,1
1830,0.5,-1.2,0.006,8,10,1
1830,0.8,-1.2,0.006,8,10,1
2030,0.175,-1,0.006,8,10,1
2050,0.02,-1.2,0.006,8,10,1
2050,0.35,-1.2,0.006,8,10,1
/,,,,,,
2570,0,-1,0.03,999,301,0
2580,0.35,-1.2,0.03,999,301,0
2590,-0.35,-1.2,0.03,999,301,0
/,,,,,,
2750,0.85,-1.5,0.01,7,13,1
2814,0.84,-1.4,0.01,7,13,1
2878,0.83,-1.3,0.01,7,13,1
2942,0.82,-1.2,0.01,7,13,1
3006,0.81,-1.1,0.01,7,13,1
3070,0.8,-1,0.01,7,13,1
3250,-0.85,-1.2,0.015,7,14,1
3289,-0.84,-1.1,0.015,7,14,1
3328,-0.83,-1,0.015,7,14,1
3367,-0.82,-0.9,0.015,7,14,1
3406,-0.81,-0.8,0.015,7,14,1
3445,-0.8,-0.7,0.015,7,14,1
3484,-0.79,-0.6,0.015,7,14,1
3523,-0.78,-0.5,0.015,7,14,1
3790,0.85,-1.2,0.018,7,13,1
3850,0.84,-1.1,0.018,7,13,1
3910,0.83,-1,0.018,7,13,1
3970,0.82,-0.9,0.018,7,13,1
4030,0.81,-0.8,0.018,7,13,1
4090,-0.85,-1.2,0.018,7,14,1
4150,-0.84,-1.1,0.018,7,14,1
4210,-0.83,-1,0.018,7,14,1
4270,-0.82,-0.9,0.018,7,14,1
4330,-0.81,-0.8,0.018,7,14,1
/,,,,,,
4510,0,-1.2,0.025,10,10,1
4510,0.35,-1.11,0.025,10,11,1
4510,-0.35,-1.11,0.025,10,12,1
4510,0.6,-1.05,0.025,10,13,1
4510,-0.6,-1.05,0.025,10,14,1
4630,0,-1.05,0.028,10,10,1
4630,0.35,-1.11,0.03,10,12,1
4630,-0.35,-1.11,0.03,10,11,1
4630,0.7,-1.2,0.032,10,14,1
4630,-0.7,-1.2,0.032,10,13,1
/,,,,,,
4750,0.2,-1,0.003,8,10,1
4750,-0.2,-1,0.003,8,10,1
4780,0.4,-1,0.004,8,10,1
4780,-0.4,-1,0.004,8,10,1
4810,0.6,-1,0.0055,8,10,1
4810,-0.6,-1,0.0055,8,10,1
4840,0.75,-1,0.007,8,10,1
4840,-0.75,-1,0.007,8,10,1
4870,0.85,-1,0.008,8,10,1
4870,-0.85,-1,0.008,8,10,1
/,,,,,,
5170,0.15,-1.3,0.025,999,300,0
5170,-0.15,-1.3,0.025,999,301,0
5170,0.5,-1.1,0.025,999,300,0
5230,-0.5,1.1,0.025,999,303,0
5230,0.85,1.2,0.025,999,302,0
5230,-0.85,1.2,0.025,999,303,0
5300,0.15,-1.3,0.025,999,300,0
5330,-0.15,-1.3,0.025,999,301,0
5360,0.5,-1.1,0.025,999,300,0
5430,-0.5,1.1,0.025,999,303,0
5460,0.85,1.2,0.025,999,302,0
5490,-0.85,1.2,0.025,999,303,0
